title,description,idRelatedTo,nameUser,roleResponsible,timestamp,date
Receive,"Receive register request from Jace, 22 years old, from Turkey, the request will be analyzed soon enough.",74,Jace,Director,78,2022-12-14T05:01:18Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,74,Jace,Administration,80,2022-12-14T05:01:20Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",55,Tate,Teacher,80,2022-12-14T05:01:20Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",8,Tate,Teacher,82,2022-12-14T05:01:22Z
Receive,"Receive register request from Reed, 18 years old, from Albania, the request will be analyzed soon enough.",39,Reed,Director,87,2022-12-14T05:01:27Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,39,Reed,Administration,88,2022-12-14T05:01:28Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,99,Sean,Teacher,88,2022-12-14T05:01:28Z
Receive,"Receive register request from Grant, 22 years old, from Poland, the request will be analyzed soon enough.",13,Grant,Director,92,2022-12-14T05:01:32Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,13,Grant,Administration,93,2022-12-14T05:01:33Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",74,Jace,Teacher,95,2022-12-14T05:01:35Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,39,Reed,Teacher,96,2022-12-14T05:01:36Z
Receive,"Receive register request from Zane, 23 years old, from Poland, the request will be analyzed soon enough.",2,Zane,Director,100,2022-12-14T05:01:40Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,2,Zane,Administration,102,2022-12-14T05:01:42Z
Receive,"Receive register request from Nash, 25 years old, from Sweden, the request will be analyzed soon enough.",40,Nash,Director,104,2022-12-14T05:01:44Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,40,Nash,Administration,106,2022-12-14T05:01:46Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",13,Grant,Teacher,106,2022-12-14T05:01:46Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",2,Zane,Teacher,108,2022-12-14T05:01:48Z
Receive,"Receive register request from Cash, 20 years old, from Slovakia, the request will be analyzed soon enough.",63,Cash,Director,112,2022-12-14T05:01:52Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,63,Cash,Administration,113,2022-12-14T05:01:53Z
Receive,"Receive register request from Jett, 30 years old, from Denmark, the request will be analyzed soon enough.",0,Jett,Director,117,2022-12-14T05:01:57Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,0,Jett,Administration,118,2022-12-14T05:01:58Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",40,Nash,Teacher,118,2022-12-14T05:01:58Z
Receive,"Receive register request from Juan, 24 years old, from Russia, the request will be analyzed soon enough.",14,Juan,Director,122,2022-12-14T05:02:02Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,14,Juan,Administration,124,2022-12-14T05:02:04Z
Receive,"Receive register request from Jake, 27 years old, from Hungary, the request will be analyzed soon enough.",93,Jake,Director,126,2022-12-14T05:02:06Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,93,Jake,Administration,127,2022-12-14T05:02:07Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,63,Cash,Teacher,128,2022-12-14T05:02:08Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",0,Jett,Teacher,130,2022-12-14T05:02:10Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",14,Juan,Teacher,132,2022-12-14T05:02:12Z
Receive,"Receive register request from Blake, 20 years old, from Portugal, the request will be analyzed soon enough.",67,Blake,Director,136,2022-12-14T05:02:16Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,67,Blake,Administration,137,2022-12-14T05:02:17Z
Receive,"Receive register request from Finn, 15 years old, from Kosovo, the request will be analyzed soon enough.",31,Finn,Director,141,2022-12-14T05:02:21Z
Refuse (eligibility),The university does not accept student under 18 years old.,31,Finn,Administration,142,2022-12-14T05:02:22Z
Receive,"Receive register request from Luke, 32 years old, from Hungary, the request will be analyzed soon enough.",49,Luke,Director,144,2022-12-14T05:02:24Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,49,Luke,Administration,146,2022-12-14T05:02:26Z
Receive,"Receive register request from Nash, 18 years old, from Italy, the request will be analyzed soon enough.",33,Nash,Director,148,2022-12-14T05:02:28Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,33,Nash,Administration,149,2022-12-14T05:02:29Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",93,Jake,Teacher,150,2022-12-14T05:02:30Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",67,Blake,Teacher,152,2022-12-14T05:02:32Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",49,Luke,Teacher,154,2022-12-14T05:02:34Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",33,Nash,Teacher,156,2022-12-14T05:02:36Z
Receive,"Receive register request from Blake, 25 years old, from France, the request will be analyzed soon enough.",21,Blake,Director,160,2022-12-14T05:02:40Z
Refuse (eligibility),The university does not accept student from France due to previous bad experience with them.,21,Blake,Administration,162,2022-12-14T05:02:42Z
Receive,"Receive register request from James, 28 years old, from Portugal, the request will be analyzed soon enough.",38,James,Director,164,2022-12-14T05:02:44Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",38,James,Administration,165,2022-12-14T05:02:45Z
Receive,"Receive register request from Tate, 18 years old, from Russia, the request will be analyzed soon enough.",59,Tate,Director,169,2022-12-14T05:02:49Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,59,Tate,Administration,170,2022-12-14T05:02:50Z
Receive,"Receive register request from Bryce, 28 years old, from Germany, the request will be analyzed soon enough.",98,Bryce,Director,172,2022-12-14T05:02:52Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",98,Bryce,Administration,173,2022-12-14T05:02:53Z
Receive,"Receive register request from Cole, 19 years old, from Kosovo, the request will be analyzed soon enough.",58,Cole,Director,177,2022-12-14T05:02:57Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",58,Cole,Administration,178,2022-12-14T05:02:58Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",59,Tate,Teacher,178,2022-12-14T05:02:58Z
Receive,"Receive register request from James, 30 years old, from Spain, the request will be analyzed soon enough.",46,James,Director,182,2022-12-14T05:03:02Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,46,James,Administration,183,2022-12-14T05:03:03Z
Receive,"Receive register request from Drew, 26 years old, from Hungary, the request will be analyzed soon enough.",95,Drew,Director,187,2022-12-14T05:03:07Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,95,Drew,Administration,188,2022-12-14T05:03:08Z
Receive,"Receive register request from Shane, 26 years old, from Slovenia, the request will be analyzed soon enough.",72,Shane,Director,190,2022-12-14T05:03:10Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,72,Shane,Administration,192,2022-12-14T05:03:12Z
Receive,"Receive register request from Prince, 25 years old, from Hungary, the request will be analyzed soon enough.",71,Prince,Director,195,2022-12-14T05:03:15Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,71,Prince,Administration,196,2022-12-14T05:03:16Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,46,James,Teacher,196,2022-12-14T05:03:16Z
Receive,"Receive register request from Lane, 29 years old, from Denmark, the request will be analyzed soon enough.",61,Lane,Director,200,2022-12-14T05:03:20Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,61,Lane,Administration,202,2022-12-14T05:03:22Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",95,Drew,Teacher,202,2022-12-14T05:03:22Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,72,Shane,Teacher,204,2022-12-14T05:03:24Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",71,Prince,Teacher,206,2022-12-14T05:03:26Z
Receive,"Receive register request from Cash, 17 years old, from Greece, the request will be analyzed soon enough.",76,Cash,Director,210,2022-12-14T05:03:30Z
Refuse (eligibility),The university does not accept student under 18 years old.,76,Cash,Administration,212,2022-12-14T05:03:32Z
Receive,"Receive register request from Kash, 27 years old, from Greece, the request will be analyzed soon enough.",86,Kash,Director,214,2022-12-14T05:03:34Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,86,Kash,Administration,215,2022-12-14T05:03:35Z
Receive,"Receive register request from Kade, 32 years old, from Albania, the request will be analyzed soon enough.",29,Kade,Director,218,2022-12-14T05:03:38Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,29,Kade,Administration,220,2022-12-14T05:03:40Z
Receive,"Receive register request from Myles, 26 years old, from Germany, the request will be analyzed soon enough.",51,Myles,Director,222,2022-12-14T05:03:42Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,51,Myles,Administration,223,2022-12-14T05:03:43Z
Receive,"Receive register request from Brock, 22 years old, from Slovenia, the request will be analyzed soon enough.",28,Brock,Director,227,2022-12-14T05:03:47Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",28,Brock,Administration,228,2022-12-14T05:03:48Z
Receive,"Receive register request from Ace, 15 years old, from Russia, the request will be analyzed soon enough.",43,Ace,Director,231,2022-12-14T05:03:51Z
Refuse (eligibility),The university does not accept student under 18 years old.,43,Ace,Administration,232,2022-12-14T05:03:52Z
Receive,"Receive register request from Hayes, 23 years old, from Kosovo, the request will be analyzed soon enough.",44,Hayes,Director,234,2022-12-14T05:03:54Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,44,Hayes,Administration,235,2022-12-14T05:03:55Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",61,Lane,Teacher,236,2022-12-14T05:03:56Z
Receive,"Receive register request from Royce, 22 years old, from Germany, the request will be analyzed soon enough.",19,Royce,Director,240,2022-12-14T05:04:00Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,19,Royce,Administration,242,2022-12-14T05:04:02Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",86,Kash,Teacher,242,2022-12-14T05:04:02Z
Receive,"Receive register request from Reid, 21 years old, from Portugal, the request will be analyzed soon enough.",20,Reid,Director,246,2022-12-14T05:04:06Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,20,Reid,Administration,247,2022-12-14T05:04:07Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",29,Kade,Teacher,249,2022-12-14T05:04:09Z
Receive,"Receive register request from Zane, 24 years old, from Portugal, the request will be analyzed soon enough.",17,Zane,Director,252,2022-12-14T05:04:12Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,17,Zane,Administration,253,2022-12-14T05:04:13Z
Receive,"Receive register request from Max, 22 years old, from Slovenia, the request will be analyzed soon enough.",27,Max,Director,256,2022-12-14T05:04:16Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,27,Max,Administration,257,2022-12-14T05:04:17Z
Receive,"Receive register request from Seth, 22 years old, from United Kingdom, the request will be analyzed soon enough.",50,Seth,Director,261,2022-12-14T05:04:21Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,50,Seth,Administration,262,2022-12-14T05:04:22Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,51,Myles,Teacher,262,2022-12-14T05:04:22Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,44,Hayes,Teacher,264,2022-12-14T05:04:24Z
Receive,"Receive register request from Zayn, 29 years old, from Switzerland, the request will be analyzed soon enough.",3,Zayn,Director,268,2022-12-14T05:04:28Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",3,Zayn,Administration,269,2022-12-14T05:04:29Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",19,Royce,Teacher,270,2022-12-14T05:04:30Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",20,Reid,Teacher,272,2022-12-14T05:04:32Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,17,Zane,Teacher,274,2022-12-14T05:04:34Z
Receive,"Receive register request from Cruz, 27 years old, from Norway, the request will be analyzed soon enough.",79,Cruz,Director,278,2022-12-14T05:04:38Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,79,Cruz,Administration,280,2022-12-14T05:04:40Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",27,Max,Teacher,280,2022-12-14T05:04:40Z
Receive,"Receive register request from Dean, 18 years old, from France, the request will be analyzed soon enough.",11,Dean,Director,284,2022-12-14T05:04:44Z
Refuse (eligibility),The university does not accept student from France due to previous bad experience with them.,11,Dean,Administration,285,2022-12-14T05:04:45Z
Receive,"Receive register request from Jake, 17 years old, from Kosovo, the request will be analyzed soon enough.",66,Jake,Director,288,2022-12-14T05:04:48Z
Refuse (eligibility),The university does not accept student under 18 years old.,66,Jake,Administration,289,2022-12-14T05:04:49Z
Receive,"Receive register request from Knox, 22 years old, from Germany, the request will be analyzed soon enough.",12,Knox,Director,293,2022-12-14T05:04:53Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,12,Knox,Administration,294,2022-12-14T05:04:54Z
Receive,"Receive register request from Zayne, 30 years old, from Italy, the request will be analyzed soon enough.",70,Zayne,Director,296,2022-12-14T05:04:56Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,70,Zayne,Administration,297,2022-12-14T05:04:57Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,3,Zayn,Administration,300,2022-12-14T05:05:00Z
Refuse (grades),We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,0,Jett,Administration,301,2022-12-14T05:05:01Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,1,George,Administration,301,2022-12-14T05:05:01Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,4,Royce,Administration,302,2022-12-14T05:05:02Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,5,Jax,Administration,302,2022-12-14T05:05:02Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,2,Zane,Administration,303,2022-12-14T05:05:03Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",50,Seth,Teacher,303,2022-12-14T05:05:03Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,8,Tate,Administration,303,2022-12-14T05:05:03Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,6,Brooks,Administration,303,2022-12-14T05:05:03Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,7,Grant,Administration,304,2022-12-14T05:05:04Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,13,Grant,Administration,304,2022-12-14T05:05:04Z
Refuse (motivation letter),We are deeply sorry to announce you that out university judged your grades too low regarding to information you provided. We are glad you took the application in consideration and wish you luck for your future studies.,79,Cruz,Teacher,304,2022-12-14T05:05:04Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,9,Zayne,Administration,305,2022-12-14T05:05:05Z
Refuse (grades),We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,14,Juan,Administration,305,2022-12-14T05:05:05Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,16,Drew,Administration,306,2022-12-14T05:05:06Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,10,Jayce,Administration,307,2022-12-14T05:05:07Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,12,Knox,Administration,307,2022-12-14T05:05:07Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,19,Royce,Administration,307,2022-12-14T05:05:07Z
Refuse (grades),We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,20,Reid,Administration,308,2022-12-14T05:05:08Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,15,Rhett,Administration,309,2022-12-14T05:05:09Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,18,Seth,Administration,309,2022-12-14T05:05:09Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,27,Max,Administration,310,2022-12-14T05:05:10Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,29,Kade,Administration,310,2022-12-14T05:05:10Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,22,Jude,Administration,310,2022-12-14T05:05:10Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",12,Knox,Teacher,310,2022-12-14T05:05:10Z
Accept,We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,32,Prince,Administration,311,2022-12-14T05:05:11Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,23,Luke,Administration,311,2022-12-14T05:05:11Z
Too late,We are sorry to announce you that it is now too late for applying to the university. Thank you for your interest on working with us.,24,Jax,Administration,312,2022-12-14T05:05:12Z
Refuse (grades),We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,33,Nash,Administration,312,2022-12-14T05:05:12Z
Refuse (grades),We are deeply sorry to announce you that we can not keep you in our University because of too much application. We are very glad of your interest in our university and wish you best luck for your future studies.,40,Nash,Administration,313,2022-12-14T05:05:13Z
